year,month, schiller-sp500 , schiller-cpi ,^GSPC,GC=F
1871,1,4.44,12.46,,
1871,2,4.5,12.84,,
1871,3,4.61,13.03,,
1871,4,4.74,12.56,,
1871,5,4.86,12.27,,
1871,6,4.82,12.08,,
1871,7,4.73,12.08,,
1871,8,4.79,11.89,,
1871,9,4.84,12.18,,
1871,10,4.59,12.37,,
1871,11,4.64,12.37,,
1871,12,4.74,12.65,,
1872,1,4.86,12.65,,
1872,2,4.88,12.65,,
1872,3,5.04,12.84,,
1872,4,5.18,13.13,,
1872,5,5.18,13.13,,
1872,6,5.13,13.03,,
1872,7,5.1,12.84,,
1872,8,5.04,12.94,,
1872,9,4.95,13.03,,
1872,10,4.97,12.75,,
1872,11,4.95,13.13,,
1872,12,5.07,12.94,,
1873,1,5.11,12.94,,
1873,2,5.15,13.23,,
1873,3,5.11,13.23,,
1873,4,5.04,13.23,,
1873,5,5.05,12.94,,
1873,6,4.98,12.56,,
1873,7,4.97,12.56,,
1873,8,4.97,12.56,,
1873,9,4.59,12.56,,
1873,10,4.19,12.27,,
1873,11,4.04,11.89,,
1873,12,4.42,12.18,,
1874,1,4.66,12.37,,
1874,2,4.8,12.37,,
1874,3,4.73,12.37,,
1874,4,4.6,12.18,,
1874,5,4.48,12.08,,
1874,6,4.46,11.8,,
1874,7,4.46,11.89,,
1874,8,4.47,11.8,,
1874,9,4.54,11.8,,
1874,10,4.53,11.61,,
1874,11,4.57,11.51,,
1874,12,4.54,11.51,,
1875,1,4.54,11.51,,
1875,2,4.53,11.51,,
1875,3,4.59,11.51,,
1875,4,4.65,11.61,,
1875,5,4.47,11.32,,
1875,6,4.38,11.13,,
1875,7,4.39,11.13,,
1875,8,4.41,11.23,,
1875,9,4.37,11.13,,
1875,10,4.3,11.13,,
1875,11,4.37,11.04,,
1875,12,4.37,10.94,,
1876,1,4.46,10.85,,
1876,2,4.52,10.85,,
1876,3,4.51,10.85,,
1876,4,4.34,10.75,,
1876,5,4.18,10.37,,
1876,6,4.15,10.09,,
1876,7,4.1,10.09,,
1876,8,3.93,10.18,,
1876,9,3.69,10.28,,
1876,10,3.67,10.47,,
1876,11,3.6,10.56,,
1876,12,3.58,10.75,,
1877,1,3.55,10.94,,
1877,2,3.34,10.66,,
1877,3,3.17,10.18,,
1877,4,2.94,10.47,,
1877,5,2.94,10.66,,
1877,6,2.73,10.09,,
1877,7,2.85,10.18,,
1877,8,3.05,9.8,,
1877,9,3.24,9.7,,
1877,10,3.31,9.7,,
1877,11,3.26,9.51,,
1877,12,3.25,9.51,,
1878,1,3.25,9.23,,
1878,2,3.18,9.13,,
1878,3,3.24,8.94,,
1878,4,3.33,8.85,,
1878,5,3.34,8.56,,
1878,6,3.41,8.37,,
1878,7,3.48,8.47,,
1878,8,3.45,8.56,,
1878,9,3.52,8.56,,
1878,10,3.48,8.47,,
1878,11,3.47,8.37,,
1878,12,3.45,8.18,,
1879,1,3.58,8.28,,
1879,2,3.71,8.37,,
1879,3,3.65,8.28,,
1879,4,3.77,8.18,,
1879,5,3.94,8.18,,
1879,6,3.96,8.09,,
1879,7,4.04,8.18,,
1879,8,4.07,8.18,,
1879,9,4.22,8.47,,
1879,10,4.68,8.94,,
1879,11,4.93,9.42,,
1879,12,4.92,9.7,,
1880,1,5.11,9.99,,
1880,2,5.2,9.99,,
1880,3,5.3,10.09,,
1880,4,5.18,9.7,,
1880,5,4.77,9.42,,
1880,6,4.79,9.23,,
1880,7,5.01,9.23,,
1880,8,5.19,9.23,,
1880,9,5.18,9.32,,
1880,10,5.33,9.32,,
1880,11,5.61,9.42,,
1880,12,5.84,9.51,,
1881,1,6.19,9.42,,
1881,2,6.17,9.51,,
1881,3,6.24,9.51,,
1881,4,6.22,9.61,,
1881,5,6.5,9.51,,
1881,6,6.58,9.51,,
1881,7,6.35,9.61,,
1881,8,6.2,9.8,,
1881,9,6.25,10.18,,
1881,10,6.15,10.28,,
1881,11,6.19,10.18,,
1881,12,6.01,10.18,,
1882,1,5.92,10.18,,
1882,2,5.79,10.28,,
1882,3,5.78,10.28,,
1882,4,5.78,10.37,,
1882,5,5.71,10.47,,
1882,6,5.68,10.56,,
1882,7,6.0,10.47,,
1882,8,6.18,10.56,,
1882,9,6.24,10.28,,
1882,10,6.07,10.18,,
1882,11,5.81,10.09,,
1882,12,5.84,9.99,,
1883,1,5.81,9.99,,
1883,2,5.68,10.09,,
1883,3,5.75,9.99,,
1883,4,5.87,9.9,,
1883,5,5.77,9.8,,
1883,6,5.82,9.51,,
1883,7,5.73,9.32,,
1883,8,5.47,9.32,,
1883,9,5.53,9.23,,
1883,10,5.38,9.23,,
1883,11,5.46,9.13,,
1883,12,5.34,9.23,,
1884,1,5.18,9.23,,
1884,2,5.32,9.23,,
1884,3,5.3,9.23,,
1884,4,5.06,9.04,,
1884,5,4.65,8.85,,
1884,6,4.46,8.85,,
1884,7,4.46,8.75,,
1884,8,4.74,8.75,,
1884,9,4.59,8.66,,
1884,10,4.44,8.56,,
1884,11,4.35,8.37,,
1884,12,4.34,8.28,,
1885,1,4.24,8.28,,
1885,2,4.37,8.37,,
1885,3,4.38,8.18,,
1885,4,4.37,8.28,,
1885,5,4.32,8.09,,
1885,6,4.3,7.9,,
1885,7,4.46,7.99,,
1885,8,4.71,7.99,,
1885,9,4.65,7.9,,
1885,10,4.92,7.9,,
1885,11,5.24,7.99,,
1885,12,5.2,8.18,,
1886,1,5.2,7.99,,
1886,2,5.3,7.99,,
1886,3,5.19,7.9,,
1886,4,5.12,7.8,,
1886,5,5.02,7.61,,
1886,6,5.25,7.52,,
1886,7,5.33,7.61,,
1886,8,5.37,7.71,,
